,corporate_brand,material_type,level,date,snapshot_date,Brand_ΔFIP_%,Brand_Abs_Impact,Brand_MT_Abs_Impact,Net_vs_Abs_Ratio,Signal_SKU_%,Impact_from_Signal_%,Top_5_SKU_%,Plant_Concentration_%,Qty_Impact_%,Cost_Impact_%,Weighted_Dominance,Driver_Conflict_%,Avg_Persistence,Structural_Shift_Index,ProductType_Impact_%,Actionability_Index,Ownership_Clarity_Index,Explainability_Score
68,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-08-01,-0.47538507109649997,,182007.99939028002,0.47538507109649997,0.9811320754716981,2.1035578540433524,1.9282223671930678,1.9757023926683839,1.0,-0.0,1.0,0.23076923076923078,0.27358490566037735,0.0,0.3701027220362812,4.056127304851043,1.0,1.1728612739212523
69,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-08-08,-0.04580883433964456,,1915833.2336218155,0.04580883433964456,0.9811320754716981,21.829850386185555,14.609924708559204,15.154085519212762,1.0,-0.0,1.0,0.625,0.7735849056603774,0.0,0.06347297491587829,318.932470541283,1.0,6.262208877134374
70,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-08-15,0.9345968835451405,,8166721.151287196,0.9345968835451405,0.9813084112149533,1.0699800284019463,0.9754595203824956,0.6358649059479115,1.0,0.0,1.0,0.5714285714285714,0.6822429906542056,0.0,0.7471609982998861,1.0437222053238115,1.0,0.8054486056607865
71,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-08-22,0.6791021381913421,,1933645.951056108,0.6791021381913421,0.9814814814814815,1.4725325451975568,1.2511517706215118,1.0571977254307,1.0,0.0,1.0,0.37735849056603776,0.5555555555555556,0.0,1.612020627393517,1.8423617012217246,1.0,0.9115718193597159
72,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-08-26,,,0.0,,0.9814814814814815,,,,,,,0.0,0.0,0.0,,,,
73,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-08-29,-0.16087294085738815,,571281.0542286136,0.16087294085738815,0.8981481481481481,3.8869696862266623,3.700196530030402,5.235065625589863,1.0,-0.0,1.0,0.3402061855670103,0.3888888888888889,0.0,-0.2953147699265339,14.382551745309256,1.0,1.852300834234383
74,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-09-05,-0.945911876160781,,6706536.336097613,0.945911876160781,0.7547169811320755,1.0018445703669705,0.9870058516632698,0.6741977399954674,1.0,-0.0,1.0,0.45,0.7264150943396226,0.0125,0.7185139163777314,0.9888264534092743,1.0,0.7209029695961257
75,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-09-12,-0.9093595413324761,,2177757.3781430456,0.9093595413324761,0.8207547169811321,0.05686416487755792,1.0306874533425292,0.981984524745921,1.0,-0.0,1.0,0.20689655172413793,0.44339622641509435,0.011494252873563218,0.8132407344969187,0.058609181284099865,1.0,0.7553567423433011
76,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-09-18,-0.9679361765488662,,8674358.894498236,0.9679361765488662,0.7641509433962265,0.7547547891604368,0.9579947276502961,0.7427739848398875,1.0,-0.0,1.0,0.48148148148148145,0.8301886792452831,0.012345679012345678,0.7077644658585646,0.7230511086845094,1.0,0.7165312243934518
77,REVLIMID,HALB,BRAND_MATERIAL_TYPE,202612,2025-09-19,-0.06655259052779569,,371173.73499508935,0.06655259052779569,0.8301886792452831,8.00020246710819,9.640321689775485,12.495089799482873,1.0,-0.0,1.0,0.23863636363636365,0.5943396226415094,0.045454545454545456,0.045494392164772995,77.12452536625842,1.0,4.208015468363024
